",""auroch(9).s1"",""auroch(9).s2"",""auroch(9).s3"",""aurochs T"",""C1-1"",""C1-2"",""C101_aurochs"",""C102_aurochs"",""C2-1"",""C2-2"",""C3-1"",""C3-2"",""C4-1"",""C4-2"",""C5-1"",""C5-2"",""C6-1"",""C6-2"",""C91_aurochs"",""C92_aurochs"",""Wa12_aurochs"",""Wa5_aurochs"",""B1-1"",""B1-2"",""B2-1"",""B2-2"",""B3-1"",""B3-2"",""B4-1"",""B4-2"",""B5-1"",""B5-2"",""B6-1"",""B6-2"",""boeuf romain"",""boeuf_crane_act6.s1"",""boeuf_crane_act6.s2"",""boeuf_crane_act6.s3"",""boeuf_etui_corne_corne_act9.s1"",""boeuf_etui_corne_corne_act9.s2"",""boeuf_etui_corne_corne_act9.s3"",""boeuf_etui_corne_sabot_act3.s1"",""boeuf_etui_corne_sabot_act3.s2"",""boeuf_etui_corne_sabot_act3.s3"",""boeuf-tourcoing-01205"",""boeuf-waziers-2280"",""boeuf-waziers-2367"",""boeuf.s1"",""boeuf.s2"",""boeuf.s3"",""boeuf(2).s1"",""boeuf(2).s2"",""boeuf(2).s3"",""boeuf(8).s1"",""boeuf(8).s2"",""boeuf(8).s3"",""boeuf1"",""boeuf2"",""boeuf2.s1"",""boeuf2.s2"",""boeuf2.s3"",""boeuf257"""
"1562.72849,NA,NA,NA,NA,""2283218"",""1501789"",NA,NA,""1592489"",""1696174"",""1915635"",""1938349"",""1592445"",""1142734"",""2036773"",""1859891"",NA,""1435393"",NA,NA,NA,NA,""1883311"",""1646580"",""847559"",NA,NA,NA,""1880216"",""1859770"",""1211015"",NA,""1705109"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1562.78223,""4154031"",""3207013"",""3819481"",""1640262"",""2380708"",""1661336"",""8037693"",""4210841"",""2155150"",""2376996"",""3193535"",""3088357"",""2661885"",""1801785"",""3000793"",""2842050"",""2508550"",""2398941"",""2362974"",NA,""15999989"",""5166830"",""2678968"",""2460759"",NA,""1536766"",""1525223"",""1595783"",""3544888"",""3134072"",""1882358"",""2158315"",""2328974"",""1368860"",""7366982"",""8378693"",""7637745"",""8198778"",""311767"",NA,""354265"",NA,NA,NA,""3223975"",""11288907"",""1221684"",""5085064"",""4523201"",""2793409"",""3080102"",NA,NA,""7252689"",""7656201"",""6272408"",""3510676"",""4020424"",""6922145"",""5769086"",""6547628"",""4480120"""
"1586.70107,NA,NA,NA,NA,""5185510"",""4023429"",NA,NA,""5841163"",""6070326"",""7675613"",""7334174"",""7701368"",""5356573"",""7243556"",""6662672"",""7458005"",""7161086"",NA,NA,NA,NA,""6843129"",""5949525"",NA,""2688734"",""4023327"",""3831836"",""8636243"",""7567359"",""3719790"",""4631851"",""4508608"",""2726622"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1586.75694,NA,""2737879"",""3186291"",NA,NA,NA,""4559795"",""2277305"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""2305268"",NA,""13286677"",""2283979"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""3152736"",""5657806"",""5511989"",""5614069"",NA,NA,NA,NA,NA,NA,""3008399"",""14728732"",NA,""4606840"",""3671521"",""2379421"",""1920903"",""853741"",""1845639"",""5572321"",""5438835"",""4242851"",""2119763"",NA,""7647547"",""6963176"",""7829966"",""2478958"""
"1615.82091,""2864277"",""2292154"",""2436118"",""511596"",NA,NA,""1029956"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""525472"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""12053790"",""11666994"",""12552153"",NA,NA,NA,NA,NA,NA,""3991477"",""4892682"",""330088"",""3920235"",""3549678"",""2046168"",""1772680"",NA,""1390411"",""4144331"",""4116491"",""3647498"",""2226726"",""1474150"",""5638450"",""4789201"",""5670186"",""1733577"""
"1616.74665,NA,NA,NA,NA,""1181497"",""1028370"",NA,NA,""1521357"",""1188421"",""1967394"",""1990167"",""1383158"",""941182"",""1942888"",""1920796"",""1590940"",""1615288"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1648.77878,NA,NA,""231079"",""451807"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""2581104"",NA,""8535346"",""6192183"",""2016022"",""3625014"",""3769073"",""3691466"",""8143940"",""7984306"",""4952771"",""7675034"",""6266209"",""2809913"",""1887567"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""1142823"",""6338748"",NA,""914348"",NA,""594711"",NA,NA,NA,""686453"",""506281"",NA,NA,NA,""2205429"",""1649905"",""1888554"",""810912"""
"1655.7395,NA,NA,NA,NA,""4289004"",""3635543"",NA,NA,""5611291"",""6191292"",""7859525"",""8003062"",""11895399"",""7210435"",""8806981"",""8328096"",""12028343"",""10952791"",NA,NA,NA,NA,""12996901"",NA,""2798665"",""5106395"",""11668429"",""10644324"",""19662874"",""17650938"",""8725505"",""12436008"",""8535661"",""4173490"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1716.91559,""400040"",NA,""282583"",""424622"",NA,NA,""2600705"",""2844210"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""966988"",NA,""436090"",""227483"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1767553"",""1035983"",""1073644"",""1004568"",NA,NA,NA,NA,NA,NA,""664038"",""731992"",NA,""593013"",""551695"",""405582"",""539393"",""277822"",""523565"",NA,""1926138"",""1693924"",""838094"",""787057"",""783926"",""654338"",""887473"",""592049"""
"1755.74022,NA,NA,NA,NA,""933767"",""1161109"",NA,NA,""2543676"",""2421997"",""4512124"",""4462549"",""2926089"",""1824871"",""5046982"",""5122116"",""4848734"",""5250806"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
