"","cerf-id79.s1","cerf-id79.s2","cerf","cerf.s1","cerf.s2","cerf.s3","cerf(3).s1","cerf(3).s2","cerf(3).s3","cerfID79","bois de daim","daim_os_long_act7.s1","daim_os_long_act7.s2","daim_os_long_act7.s3","daim_os_long_act8.s1","daim_os_long_act8.s2","daim_os_long_act8.s3","daim","daim.s1","daim.s2","daim.s3","daim1","meagC73","meagC74","meagC75","meagC76","meagC77","meagC79","meagC80"
"Label","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","MGcerus","MGcerus","MGcerus","MGcerus","MGcerus","MGcerus","MGcerus"
"1758.73562","2924300","2888533",NA,"2171460","2185605","1953165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1055664",NA,NA,"1055664",NA,NA,NA,NA,NA,NA,NA
"1759.71964","2643888","3095350","495784","2363611","2425356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"398256","3677506","4046453","3252808","3677506","515022",NA,NA,"362694",NA,NA,"1627942"
"1760.70132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200633","181697",NA,NA,NA,"399583","1526115"
"1765.86082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"474192","429064","552866",NA,"472626",NA
"1769.8939","1056069","1251445",NA,NA,NA,NA,"308175","222744",NA,"198720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"330473","441889","343370",NA,NA,"480382",NA
"1783.80328",NA,NA,"1069069","1430822","1235551","1215951","1463808","1310976","1001200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"521452",NA,NA,NA,NA,NA,NA
"1787.904",NA,"454121","968186","456337","498223","497169","341878","287060","327663","404744","328323",NA,NA,NA,NA,"531143",NA,NA,"431036",NA,NA,"431036","1077762","693222","789474","792417","411587","1137969","739025"
"1798.81683","1746117","2288464",NA,"2706812","2306666","2392383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1799.79999","2463744","2915293","1383861","4967067","4219612","4376377",NA,NA,NA,NA,NA,NA,NA,NA,NA,"278299","237275",NA,"4688916","5128128","4494291","4688916","2350114",NA,"1152883","1628252","716935","3184415","7435829"
"1804.93079","13230864","14164458","12677770","19883668","17283870","18072240","3974544","3797012","3225537","3356731","3144752","2062257","2449813","1783088","6594257","6806159","5398255","2492648","9422301","9934591","9456773","9422301","17206130","11066671","10423949","12874320","6474475","24553956","16246931"
"1812.88856","1796589","1953614",NA,"2183601","2073922","1998816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"644077","1090001","1212433",NA,"1090001",NA,NA,NA,NA,NA,NA,NA
"1815.79315","408149","357452",NA,NA,NA,NA,NA,NA,NA,NA,NA,"412359","504448","246162","818676","915636","686226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1816.86545","357767",NA,"2181706","2908566","2451803","2713721","3629727","3055626","2699759",NA,"571263",NA,"223350",NA,NA,NA,NA,NA,"1503718","1311176","1484267","1503718","2353004","1454811","1556315","839792","827303","2451082","1417859"
"1822.73888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"400057","476474","314392","453553","501999","353673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1826.91244",NA,NA,"1046468",NA,NA,"608912",NA,NA,NA,NA,NA,NA,NA,NA,"317681",NA,NA,NA,NA,NA,NA,NA,"672189",NA,"468304",NA,"166410","348489",NA
"1832.86038","2193053","2384970","3651562","9572612","8667424","8910353","3283429","3137514","2404774","336314",NA,NA,"1079232","740992","1717736","1596160","1260482","2704853","10263868","10530280","10516993","10263868","4752948","3015991","2551102","2864524","1445331","6914471","19253832"
"1838.97546",NA,NA,NA,NA,NA,NA,"478012","447053","442522",NA,"233744","462551","441339","374327","336784","301188","236797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1848.85599","3368616","3366557","1832433","7211090","6209896","6786395","333540",NA,NA,"402496",NA,"1500567","1827037",NA,"3965642","3715845","3242275","1680746","8909019","8911114","8575225","8909019","2661834","1591184",NA,"1890235","829952","4253703","21153984"
"1860.93086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"333517","360590","271635",NA,"242134",NA,NA,NA,NA,NA,NA,"541943","476852","427899","465912","143231","578850",NA
"1863.87386","3085284","3053246",NA,"3433193","3363788","2995474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"514575","1160540","1437331","1152092","1160540",NA,NA,NA,NA,NA,NA,"1685582"
