"","cerf-id79.s1","cerf-id79.s2","cerf","cerf.s1","cerf.s2","cerf.s3","cerf(3).s1","cerf(3).s2","cerf(3).s3","cerfID79","bois de daim","daim_os_long_act7.s1","daim_os_long_act7.s2","daim_os_long_act7.s3","daim_os_long_act8.s1","daim_os_long_act8.s2","daim_os_long_act8.s3","daim","daim.s1","daim.s2","daim.s3","daim1","meagC73","meagC74","meagC75","meagC76","meagC77","meagC79","meagC80"
"Label","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","MGcerus","MGcerus","MGcerus","MGcerus","MGcerus","MGcerus","MGcerus"
"3017.36075","19607792","19937876","14701637","17910840","15464073","17584430","3817949","3410848","2372575","5861864","1418870","1501801","1685407","1192372","8793531","10413752","8198054","2346000","40531100","40409796","38772280","40531100","3046013","1194361","1148102","676439",NA,"2902763",NA
"3018.34006",NA,NA,"2628115","3279007","2952853","3288075","2363477","2303195","1672607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6191774","2627323",NA,"2259568","1800152","8178654","1214434"
"3019.32045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4072812","1671615","1275571","1916605",NA,"5557282","2980427"
"3020.29903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1271882","592549",NA,NA,NA,"2357188","2345142"
"3033.48706","2012455","1993374","11939742","8160841","7305597","7856489","5795622","5413500","4521371","1754736","2925700","1749129","1613062","1404319","5252253","5933436","4860371","1785022","2901960","3011129","2704251","2901960","10665997","6218019","6055145","7924072","5945144","10680658","3737462"
"3034.46122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5544582","2880314","2568785","5697061","3824190","6420712","3702109"
"3036.40424","704173","730192","741593","402419",NA,NA,NA,NA,NA,"1143383",NA,NA,"222833","218092","621085","732512","564290",NA,"2487712","2462918","2382821","2487712","533205","421234","582815","666131",NA,NA,NA
"3039.34229",NA,NA,"2558174","762651","599450","894943",NA,NA,NA,NA,NA,NA,NA,NA,"717717",NA,"494815",NA,"806832","1213704","1065901","806832",NA,NA,NA,NA,NA,NA,NA
"3052.40186","1494069","1896683","3381284","1980327","1742082","1933075","630865","622158",NA,"1872571","693317",NA,NA,NA,NA,"482110","430713","202585","3131698","3110438","2917879","3131698","1427545","717438","882422","706294","730637","1049770",NA
"3053.37893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1592268","965088","796188","1145456",NA,NA,NA
"3054.35828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1007050","516858","328466","581478",NA,"1051102","912707"
"3068.41759",NA,NA,NA,NA,"371994","333485",NA,NA,NA,NA,"249840","341044","338631",NA,NA,NA,NA,NA,"540616","572314","558320","540616",NA,NA,"431099",NA,NA,NA,NA
"3084.41417","889169","955271","3007893","2310301","1792390","2081872","6150896","5584201","4663848","945572","1478422","1197608","1138685","856359","1253493","1283109","1084064","465262","3924884","4305163","4068442","3924884","2667536","1427855","2594447","1010878",NA,"1149378",NA
"3085.39276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3140815",NA,"2427933","1585043",NA,"1792444",NA
"3086.36935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1214094","947139","1315829","789046","955526","967114",NA
"3100.39007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5595641","6620020","5215720",NA,"9731885","1845870"
"3100.41222","9019589","9353105","24010218","21155046","16094987","19552488","26383142","22825552","17684664","5240707","2833307","3111206","3120430","2161483","7053254","6946687","5444184","1582501","25862718","28216076","25644592","25862718","10159554","4513623","5747984","3425941","3619873","6814525",NA
"3102.36892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5914296","2760534","2755151","2748465","1880153","4814545","3085578"
"3116.40996","18997404","17501078","16609843","26378490","19474976","23853258","3229863","2754100","2080574","7289483","1347308","5351902","5813602","3795907","17647272","19598816","14014685","1283854","37558280","43627772","37365004","37558280","7777018","3286214","2782184","3298720","1879424","6915044",NA
"3117.38811",NA,NA,"2196523","3499758",NA,"2997930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9540314","4186834","2940780",NA,NA,NA,"3923604"
"3118.3682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5700605","2427417","1605566","2950871",NA,"5744128","5681462"
"3132.40524","1961516","1927627","1355046","1744391","1253962","1603113","397270","370205",NA,"775913",NA,"3395437","3626969","2219233","11024156","13194845","9559267",NA,"2806950","3457995","2766437","2806950",NA,NA,NA,NA,NA,NA,NA
"3167.48408","2032905","2346375","2461308","3919359","2894139","3477341",NA,NA,NA,NA,NA,NA,NA,NA,"897685","1170426","680333",NA,"2653188","3092145","2709867","2653188",NA,NA,NA,NA,NA,NA,NA
"3183.45157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2034702","514624","454911",NA,NA,"4139533",NA
"3183.47603","13189481","13429050","8573341","17119154","12621083","15732714","1651404","1551779","991701","1417306",NA,NA,NA,NA,"2861044","3662568","2893012",NA,"5821524","6812402","6006037","5821524","974592",NA,NA,NA,NA,"1555312",NA
"3199.47038","1714833","2174911","989838","2369742","1836750","2230219",NA,NA,NA,NA,NA,NA,NA,NA,NA,"621898",NA,NA,NA,"774127","736080",NA,NA,NA,NA,NA,NA,NA,NA
"3227.52132","5658933","6594607","4011193","9040182","7659565","8759814","1208004",NA,NA,"597402",NA,NA,NA,NA,"1256857","1378700","1196417",NA,"2150409","2595730","2393834","2150409",NA,NA,"277341",NA,NA,NA,NA
"3228.49687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2516254","829240","739735","1145782","699046","6408984","2419727"
"3243.51238","1256133","1225449","641272","1213563","1068823","1188158",NA,NA,NA,NA,NA,NA,NA,NA,"728362","901226","652962",NA,"388363",NA,"547859","388363",NA,NA,NA,NA,NA,NA,NA
"3382.57518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"295562",NA,"567333","617617","501435",NA,"503749","899369","699272","503749",NA,NA,NA,NA,NA,NA,NA
"3415.58126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015831","654760","541969","1069626","517194","1507617","837609"
"3502.57818",NA,NA,NA,"402472",NA,"361333",NA,"404898","257936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"889066",NA,"369215","565421","175928","1922072",NA
"3625.72445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"522707","845048","459752","911465",NA,"1015951",NA
"3651.55705","695056","894179",NA,NA,NA,NA,NA,NA,NA,"1121215","1496424","779754","756169","657941",NA,"533981","583712",NA,"568178","840509","704880","568178",NA,NA,NA,NA,NA,NA,NA
"3665.57628",NA,NA,"1206914","311461","357842","327782","783104","695987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3722.59464","905396","1049168",NA,NA,NA,NA,NA,NA,NA,"1878510","613972","871154","915969","812491","1197156","1128443","833143",NA,"614364","703687","801519","614364",NA,NA,NA,NA,NA,NA,NA
"4037.87524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2228780","2894588","2791248","3969303","2248345","1081184",NA
"4069.91379",NA,NA,NA,NA,NA,NA,"1054097","877932","781387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"674978","1990478","2294104","2354236","763105","386695",NA
"4085.90727",NA,NA,NA,NA,NA,NA,"552988","562321","501868",NA,NA,NA,NA,NA,"297563",NA,NA,NA,NA,NA,NA,NA,"829943","2154854","1933229","3094127",NA,"544185",NA
"4096.94347",NA,NA,"770883",NA,NA,NA,"1387472","1123861","979668","624292","1949604",NA,NA,NA,"4133828","3622620","2631080",NA,NA,"598725","555196",NA,"892183",NA,"656320",NA,NA,"321960",NA
"4112.93954",NA,"411258","1889467","575432",NA,"536902","2020898","1784703","1403360","751179","1352994",NA,"917638","487528","2486132","2303144","1627703",NA,"812436","921472","995828","812436","1532123","1229857","916629",NA,"648965",NA,NA
"4287.03688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"611358","840648","610727","757135","400370","416185",NA
"4302.05277","277116","497698","1078998",NA,"380039","478062","2442930","2362843","1890095","1002951",NA,NA,NA,NA,"3566434","3002977","2325718",NA,NA,NA,"342044","274200",NA,NA,NA,NA,NA,NA,NA
"4303.02435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1516024","1613423","1158116","1389158","673209","824515",NA
"4348.11502",NA,NA,"356595",NA,NA,NA,"886451","775082","804601",NA,"629847","785205","788343","614588","1029782","770607","710699",NA,"348051","556757","496299","348051",NA,NA,NA,NA,NA,NA,NA
"4349.0937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1361405","2199327","1985667","3211435","1211889","659876","333766"
"4364.10812","331185",NA,"815481",NA,NA,NA,"2438717","2026428","1999735","1195171","649655","910822","1025221","548107","1864034","1391837","1140444",NA,"455075",NA,"568943","455075",NA,NA,NA,NA,NA,NA,NA
"4365.08859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3147158","3816033","3372383","6258022","2213999","1723556","450283"
"4479.12101",NA,NA,NA,NA,NA,NA,NA,NA,NA,"619230",NA,"931753","981999","694268","805707","556093","567959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4480.09923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"799810","1402923","1651319","2568663","1146087","449057",NA
